point_name,month_year,TBOT_avg,PRECTmms_total_mm
2_6_105_51297,1975-06,288.6815,2.527832
2_6_105_51297,1975-07,292.79156,0.105579376
2_6_105_51297,1975-08,291.06793,8.971237
2_6_105_51297,1975-09,291.3999,6.96334
2_6_105_51297,1975-10,279.53058,238.61497
2_6_105_51297,1975-11,274.27283,92.17825
2_6_105_51297,1975-12,275.7732,123.47641
2_6_105_51297,1976-01,275.79523,47.814453
2_6_105_51297,1976-02,273.86487,181.9903
2_6_105_51297,1976-03,274.343,34.89369
2_6_105_51297,1976-04,276.44482,238.85953
2_6_105_51297,1976-05,285.34332,0.32095718
2_6_105_51297,1976-06,286.87494,5.2945824
2_6_105_51297,1976-07,292.50583,4.607933
2_6_105_51297,1976-08,288.4295,67.17305
2_6_105_51297,1976-09,290.0053,23.587345
2_6_105_51297,1976-10,285.02576,2.2379112
2_6_105_51297,1976-11,281.21985,85.44258
2_6_105_51297,1976-12,277.00882,36.604786
2_6_105_51297,1977-01,274.86148,48.240753
2_6_105_51297,1977-02,277.1424,99.96589
2_6_105_51297,1977-03,272.5162,125.75731
2_6_105_51297,1977-04,280.4566,18.871593
2_6_105_51297,1977-05,278.70505,84.68701
2_6_105_51297,1977-06,291.20264,11.914604
2_6_105_51297,1977-07,292.25735,5.5723343
2_6_105_51297,1977-08,293.0162,8.129814
2_6_105_51297,1977-09,286.0723,114.210014
2_6_105_51297,1977-10,283.2969,77.753365
2_6_105_51297,1977-11,275.6502,163.51653
2_6_105_51297,1977-12,274.42548,467.645
2_6_105_51297,1978-01,274.7307,755.9023
2_6_105_51297,1978-02,274.2403,403.5499
2_6_105_51297,1978-03,278.28336,306.35025
2_6_105_51297,1978-04,275.73682,270.46735
2_6_105_51297,1978-05,282.4482,5.303673
2_6_105_51297,1978-06,288.08966,11.4272995
2_6_105_51297,1978-07,292.97568,6.461796
2_6_105_51297,1978-08,291.33673,14.468273
2_6_105_51297,1978-09,285.65268,107.546814
2_6_105_51297,1978-10,286.6344,1.3920355
2_6_105_51297,1978-11,276.19867,39.24225
2_6_105_51297,1978-12,272.19992,42.837612
2_6_105_51297,1979-01,272.3814,317.60858
2_6_105_51297,1979-02,272.0655,345.44757
2_6_105_51297,1979-03,276.59314,201.8747
2_6_105_51297,1979-04,277.4261,106.5163
2_6_105_51297,1979-05,285.32074,55.810204
2_6_105_51297,1979-06,289.53293,0.6173096
2_6_105_51297,1979-07,292.8753,1.6197548
2_6_105_51297,1979-08,290.53082,15.830151
2_6_105_51297,1979-09,290.22583,10.707004
2_6_105_51297,1979-10,283.3046,161.70616
2_6_105_51297,1979-11,276.1496,154.86023
2_6_105_51297,1979-12,275.03055,363.04034
2_6_105_51297,1980-01,273.21555,189.00891
2_6_105_51297,1980-02,275.37567,600.2969
2_6_105_51297,1980-03,273.98337,129.3462
2_6_105_51297,1980-04,279.24576,131.36589
2_6_105_51297,1980-05,283.42715,17.030571
2_6_105_51297,1980-06,285.27197,45.58947
2_6_105_51297,1980-07,293.02487,1.1154861
2_6_105_51297,1980-08,292.34433,0.00024414062
2_6_105_51297,1980-09,288.67087,7.094392
2_6_105_51297,1980-10,284.8121,28.90071
2_6_105_51297,1980-11,277.82504,66.06766
2_6_105_51297,1980-12,276.54196,362.1689
2_6_105_51297,1981-01,276.04462,600.27826
2_6_105_51297,1981-02,274.89194,167.43982
2_6_105_51297,1981-03,275.4849,189.23636
2_6_105_51297,1981-04,280.17062,23.580687
2_6_105_51297,1981-05,283.65063,42.85182
2_6_105_51297,1981-06,289.86896,2.2354927
2_6_105_51297,1981-07,293.56335,2.7986717
