"LAT","LON","pltID"
36.999797,-119.106164,"5_6_19_66005"
36.950001,-118.974214,"5_6_19_74103"
36.791094,-118.966081,"5_6_19_99257"
35.664464,-118.57859,"5_6_29_52361"
37.302664,-119.459686,"5_6_39_98938"
38.420025,-119.837708,"5_6_3_54594"
37.57329,-119.608392,"5_6_43_58889"
38.406226,-120.1253,"5_6_9_77228"
41.047483,-122.808105,"2_6_105_76449"
40.543676,-121.133484,"2_6_35_73060"
40.549172,-121.264747,"2_6_35_86836"
41.373832,-120.92033,"2_6_49_60210"
41.346009,-120.749895,"2_6_49_64415"
41.093019,-121.964649,"2_6_89_55696"
40.456976,-121.581563,"2_6_89_57442"
40.980114,-121.83122,"2_6_89_66502"
40.472095,-121.740365,"2_6_89_91831"
41.392173,-122.032545,"2_6_93_83276"
41.248737,-122.491465,"2_6_93_92550"
41.245209,-121.934943,"2_6_93_95740"
40.016489,-121.701714,"3_6_103_78492"
40.150984,-121.543112,"3_6_103_82900"
40.298095,-121.585279,"3_6_103_88200"
39.603041,-121.039076,"3_6_115_54964"
38.885932,-120.78359,"3_6_17_61382"
38.989333,-120.360291,"3_6_17_73786"
38.756113,-120.460506,"3_6_17_78404"
39.375282,-120.766392,"3_6_57_87962"
39.138822,-120.350607,"3_6_61_56959"
39.232792,-120.216432,"3_6_61_63544"
39.097282,-120.674469,"3_6_61_76008"
39.28436,-120.362229,"3_6_61_90898"
39.05405,-120.790161,"3_6_61_92405"
39.152933,-120.539648,"3_6_61_93006"
39.902298,-121.026436,"3_6_63_88319"
40.151476,-121.209439,"3_6_63_90310"
39.695456,-120.894718,"3_6_91_97328"
39.600009,-120.720313,"3_6_91_98366"
37.975868,-119.76798,"5_6_109_70650"
37.809822,-119.747361,"5_6_109_73865"
36.757875,-118.941391,"5_6_19_50529"
37.086456,-118.980996,"5_6_19_54781"
37.438759,-118.979749,"5_6_19_60572"
37.078998,-119.261988,"5_6_19_73952"
38.326859,-120.27258,"5_6_9_65997"
41.329012,-120.779528,"2_6_49_63662"
41.001422,-122.161827,"2_6_89_55801"
41.079465,-121.725095,"2_6_89_78722"
41.045398,-122.028375,"2_6_89_79595"
41.116343,-121.672355,"2_6_89_94277"
38.580809,-120.434995,"3_6_17_51640"
38.900108,-120.470403,"3_6_17_57624"
38.958172,-120.350082,"3_6_17_66804"
38.526135,-120.471796,"3_6_17_72703"
39.007548,-120.833794,"3_6_61_51970"
39.294329,-120.064228,"3_6_61_66411"
39.631272,-120.728666,"3_6_91_90686"
36.262882,-118.476721,"5_6_107_53570"
35.815023,-118.589406,"5_6_107_56883"
36.254811,-118.17379,"5_6_107_66883"
35.855672,-118.317184,"5_6_107_80767"
38.158939,-120.261004,"5_6_109_75599"
38.32977,-119.979976,"5_6_109_75699"
38.504539,-120.312918,"5_6_5_54566"
38.3606,-120.289988,"5_6_9_83898"
